	[Battleaxe] 6.0
CAERLEON: 309997	{21.05.2022 11:25}
BLACKMARKET: 334112	{21.05.2022 11:18}
	[Enigmatic-Staff] 7.2
CAERLEON: 879991	{21.05.2022 11:25}
BLACKMARKET: 919310	{21.05.2022 11:18}
	[Enigmatic-Staff] 8.0
CAERLEON: 317949	{21.05.2022 11:25}
BLACKMARKET: 353996	{21.05.2022 11:18}
	[Enigmatic-Staff] 8.1
CAERLEON: 729995	{21.05.2022 11:25}
BLACKMARKET: 766588	{21.05.2022 11:18}
	[Enigmatic-Staff] 8.2
CAERLEON: 2331111	{21.05.2022 11:25}
BLACKMARKET: 2289988	{21.05.2022 11:18}
	[Great-Arcane-Staff] 6.0
CAERLEON: 42593	{21.05.2022 11:25}
BLACKMARKET: 50695	{21.05.2022 11:18}
	[Great-Arcane-Staff] 6.1
CAERLEON: 92140	{21.05.2022 11:25}
BLACKMARKET: 108861	{21.05.2022 11:18}
	[Great-Arcane-Staff] 6.2
CAERLEON: 360993	{21.05.2022 11:25}
BLACKMARKET: 400994	{21.05.2022 11:18}
	[Great-Arcane-Staff] 7.0
CAERLEON: 95995	{21.05.2022 11:25}
BLACKMARKET: 106117	{21.05.2022 11:18}
	[Great-Arcane-Staff] 7.1
CAERLEON: 250000	{21.05.2022 11:25}
BLACKMARKET: 289401	{21.05.2022 11:18}
	[Great-Arcane-Staff] 7.2
CAERLEON: 849998	{21.05.2022 11:25}
BLACKMARKET: 860000	{21.05.2022 11:18}
	[Great-Arcane-Staff] 8.0
CAERLEON: 264932	{21.05.2022 11:25}
BLACKMARKET: 284999	{21.05.2022 11:18}
	[Great-Arcane-Staff] 8.1
CAERLEON: 748491	{21.05.2022 11:25}
BLACKMARKET: 790000	{21.05.2022 11:18}
	[Great-Arcane-Staff] 8.2
CAERLEON: -1	{21.05.2022 11:25}
BLACKMARKET: -1	{21.05.2022 11:18}
	[Great-Cursed-Staff] 6.0
CAERLEON: 39988	{21.05.2022 11:24}
BLACKMARKET: 47995	{21.05.2022 11:17}
	[Great-Cursed-Staff] 6.1
CAERLEON: 91102	{21.05.2022 11:24}
BLACKMARKET: 108774	{21.05.2022 11:17}
	[Great-Cursed-Staff] 6.2
CAERLEON: 298999	{21.05.2022 11:24}
BLACKMARKET: 337994	{21.05.2022 11:17}
	[Great-Cursed-Staff] 7.0
CAERLEON: 107371	{21.05.2022 11:24}
BLACKMARKET: 120987	{21.05.2022 11:17}
	[Great-Cursed-Staff] 7.1
CAERLEON: 279996	{21.05.2022 11:24}
BLACKMARKET: 283607	{21.05.2022 11:17}
	[Great-Cursed-Staff] 7.2
CAERLEON: 800995	{21.05.2022 11:24}
BLACKMARKET: 799994	{21.05.2022 11:17}
	[Great-Cursed-Staff] 8.0
CAERLEON: 325529	{21.05.2022 11:24}
BLACKMARKET: 339999	{21.05.2022 11:17}
	[Great-Cursed-Staff] 8.1
CAERLEON: 700000	{21.05.2022 11:24}
BLACKMARKET: 734977	{21.05.2022 11:17}
	[Great-Cursed-Staff] 8.2
CAERLEON: -1	{21.05.2022 11:24}
BLACKMARKET: 2049978	{21.05.2022 11:17}
	[Great-Fire-Staff] 6.0
CAERLEON: 44456	{21.05.2022 11:26}
BLACKMARKET: 50398	{21.05.2022 11:19}
	[Great-Fire-Staff] 6.1
CAERLEON: 85000	{21.05.2022 11:26}
BLACKMARKET: 106987	{21.05.2022 11:19}
	[Great-Fire-Staff] 6.2
CAERLEON: 324990	{21.05.2022 11:26}
BLACKMARKET: 349737	{21.05.2022 11:19}
	[Great-Fire-Staff] 7.0
CAERLEON: 95543	{21.05.2022 11:26}
BLACKMARKET: 117974	{21.05.2022 11:19}
	[Great-Fire-Staff] 7.1
CAERLEON: 228989	{21.05.2022 11:26}
BLACKMARKET: 276983	{21.05.2022 11:19}
	[Great-Fire-Staff] 7.2
CAERLEON: 844000	{21.05.2022 11:26}
BLACKMARKET: 866110	{21.05.2022 11:19}
	[Great-Fire-Staff] 8.0
CAERLEON: 228874	{21.05.2022 11:26}
BLACKMARKET: 277987	{21.05.2022 11:19}
	[Great-Fire-Staff] 8.1
CAERLEON: 699990	{21.05.2022 11:26}
BLACKMARKET: 714997	{21.05.2022 11:19}
	[Great-Fire-Staff] 8.2
CAERLEON: 2222222	{21.05.2022 11:26}
BLACKMARKET: 1989999	{21.05.2022 11:19}
	[Great-Hammer] 6.0
CAERLEON: 46438	{21.05.2022 11:27}
BLACKMARKET: 103956	{21.05.2022 11:20}
	[Great-Hammer] 6.1
CAERLEON: 79980	{21.05.2022 11:27}
BLACKMARKET: 102970	{21.05.2022 11:20}
	[Great-Hammer] 6.2
CAERLEON: 349999	{21.05.2022 11:27}
BLACKMARKET: 411939	{21.05.2022 11:20}
	[Great-Hammer] 7.0
CAERLEON: 109000	{21.05.2022 11:27}
BLACKMARKET: 180000	{21.05.2022 11:20}
	[Great-Hammer] 7.1
CAERLEON: 299590	{21.05.2022 11:27}
BLACKMARKET: 320000	{21.05.2022 11:20}
	[Great-Hammer] 7.2
CAERLEON: 869998	{21.05.2022 11:27}
BLACKMARKET: 819895	{21.05.2022 11:20}
	[Great-Hammer] 8.0
CAERLEON: 268993	{21.05.2022 11:27}
BLACKMARKET: 344892	{21.05.2022 11:20}
	[Great-Hammer] 8.1
CAERLEON: 788880	{21.05.2022 11:27}
BLACKMARKET: 777415	{21.05.2022 11:20}
	[Great-Hammer] 8.2
CAERLEON: 2600000	{21.05.2022 11:27}
BLACKMARKET: -1	{21.05.2022 11:20}
	[Greataxe] 6.0
CAERLEON: 47976	{21.05.2022 11:22}
BLACKMARKET: 60882	{21.05.2022 11:15}
	[Greataxe] 6.1
CAERLEON: 99000	{21.05.2022 11:22}
BLACKMARKET: 111972	{21.05.2022 11:15}
	[Greataxe] 6.2
CAERLEON: 300000	{21.05.2022 11:22}
BLACKMARKET: 318797	{21.05.2022 11:15}
	[Greataxe] 7.0
CAERLEON: 103675	{21.05.2022 11:22}
BLACKMARKET: 123453	{21.05.2022 11:15}
	[Greataxe] 7.1
CAERLEON: 309998	{21.05.2022 11:22}
BLACKMARKET: 327983	{21.05.2022 11:15}
	[Greataxe] 7.2
CAERLEON: 799999	{21.05.2022 11:22}
BLACKMARKET: 807987	{21.05.2022 11:15}
	[Greataxe] 8.0
CAERLEON: 290000	{21.05.2022 11:22}
BLACKMARKET: 344977	{21.05.2022 11:15}
	[Greataxe] 8.1
CAERLEON: 745995	{21.05.2022 11:22}
BLACKMARKET: 747992	{21.05.2022 11:15}
	[Greataxe] 8.2
CAERLEON: 2299900	{21.05.2022 11:22}
BLACKMARKET: 2095000	{21.05.2022 11:15}
	[Halberd] 6.0
CAERLEON: 37999	{21.05.2022 11:23}
BLACKMARKET: 48785	{21.05.2022 11:15}
	[Halberd] 6.1
CAERLEON: 110979	{21.05.2022 11:23}
BLACKMARKET: 96964	{21.05.2022 11:15}
	[Halberd] 6.2
CAERLEON: 389984	{21.05.2022 11:23}
BLACKMARKET: 464977	{21.05.2022 11:15}
	[Halberd] 7.0
CAERLEON: 114441	{21.05.2022 11:23}
BLACKMARKET: 134912	{21.05.2022 11:16}
	[Halberd] 7.1
CAERLEON: 308999	{21.05.2022 11:23}
BLACKMARKET: 337579	{21.05.2022 11:16}
	[Halberd] 7.2
CAERLEON: 899999	{21.05.2022 11:23}
BLACKMARKET: 935531	{21.05.2022 11:16}
	[Halberd] 8.0
CAERLEON: 299992	{21.05.2022 11:23}
BLACKMARKET: 325000	{21.05.2022 11:16}
	[Halberd] 8.1
CAERLEON: 990000	{21.05.2022 11:23}
BLACKMARKET: 930968	{21.05.2022 11:16}
	[Halberd] 8.2
CAERLEON: 2400000	{21.05.2022 11:23}
BLACKMARKET: 2179948	{21.05.2022 11:16}
	[Infernal-Staff] 6.0
CAERLEON: 42971	{21.05.2022 11:26}
BLACKMARKET: 46189	{21.05.2022 11:19}
	[Infernal-Staff] 6.1
CAERLEON: 99996	{21.05.2022 11:26}
BLACKMARKET: 114888	{21.05.2022 11:19}
	[Infernal-Staff] 6.2
CAERLEON: 299985	{21.05.2022 11:26}
BLACKMARKET: 320893	{21.05.2022 11:19}
	[Infernal-Staff] 7.0
CAERLEON: 91110	{21.05.2022 11:26}
BLACKMARKET: 169984	{21.05.2022 11:19}
	[Infernal-Staff] 7.1
